iter	Passed	Remaining
0	10	1020
1	20	995
2	30	976
3	40	972
4	50	955
5	61	956
6	70	939
7	81	934
8	90	916
9	99	895
10	109	887
11	118	870
12	129	864
13	139	855
14	148	843
15	158	831
16	167	817
17	176	803
18	185	790
19	194	776
20	202	763
21	210	748
22	219	733
23	227	719
24	237	713
25	246	702
26	255	691
27	265	682
28	274	673
29	283	662
30	292	650
31	300	638
32	309	627
33	317	616
34	326	606
35	335	596
36	343	584
37	352	574
38	360	564
39	369	553
40	377	542
41	385	532
42	393	521
43	402	511
44	410	501
45	419	491
46	427	481
47	435	472
48	444	462
49	453	453
50	461	443
51	470	434
52	479	424
53	487	415
54	496	406
55	504	396
56	513	387
57	521	377
58	531	369
59	539	359
60	548	350
61	556	341
62	565	332
63	573	322
64	582	313
65	590	303
66	598	294
67	606	285
68	615	276
69	623	267
70	631	258
71	639	248
72	648	240
73	659	231
74	668	222
75	677	213
76	686	205
77	697	196
78	706	187
79	717	179
80	727	170
81	736	161
82	746	152
83	755	143
84	764	134
85	774	126
86	783	117
87	792	108
88	800	98
89	808	89
90	817	80
91	826	71
92	834	62
93	843	53
94	851	44
95	861	35
96	871	26
97	880	17
98	890	8
99	898	0
